k_RL,
k_RLm,
k_Rd0,
k_Rs,
k_Rd1,
k_Ga,
k_G1,
k_Gd,
k_24cm0,
k_24cm1,
k_24mc,
k_24d,
k_42a,
k_42d,
k_B1cm,
k_B1mc,
k_Cla4a,
k_Cla4d,
C24_t,
B1_t,
C42_t,
G_t,
R_t,
q,
h,
D_R,
D_RL,
D_G,
D_Ga,
D_Gbg,
D_Gd,
D_c24m,
D_c42,
D_c42a,
D_B1m
